sim_id,model_type,b_0_est,b_w_est,b_b_est,cov_b_w,cov_b_b,var_u0_est,var_e_est
40,6_blimp_rescue,-0.0608,0.403,0.758,1,1,0.7552,1.0501
41,1_lmer_complete,0.085608923,0.390078078,0.860083919,1,0,1.071425723,0.986256796
41,2_blimp_complete,0.073,0.3902,0.8658,1,0,1.0982,0.9865
41,3_lmer_naive,-0.523585215,0.511415684,0.622790176,0,1,0.77994576,0.776651933
41,4_blimp_lmc_noaux,-0.5259,0.5118,0.6311,0,1,0.8022,0.7773
41,5_blimp_omc_aux,-0.037,0.4235,0.8752,1,0,0.9696,1.0056
41,6_blimp_rescue,0.0987,0.3854,0.8657,1,0,1.0461,0.9723
42,1_lmer_complete,-0.113663683,0.413145589,0.685707789,1,1,0.890122666,0.980651137
42,2_blimp_complete,-0.1312,0.4133,0.6901,1,1,0.9137,0.9809
42,3_lmer_naive,-0.655019574,0.547561107,0.498159575,0,1,0.763523128,0.746156539
42,4_blimp_lmc_noaux,-0.6706,0.5475,0.502,0,1,0.7856,0.7467
42,5_blimp_omc_aux,-0.1685,0.4613,0.7254,0,1,0.8686,1.0072
42,6_blimp_rescue,-0.0965,0.4173,0.7001,1,1,0.8941,0.9695
43,1_lmer_complete,0.054900227,0.406185864,0.730189016,1,1,1.228964993,1.010609442
43,2_blimp_complete,0.038,0.4063,0.725,1,1,1.2634,1.0109
43,3_lmer_naive,-0.577739269,0.537815241,0.490488167,0,1,0.787454692,0.810659072
43,4_blimp_lmc_noaux,-0.5711,0.5379,0.4829,0,1,0.8079,0.8116
43,5_blimp_omc_aux,-0.0279,0.4588,0.7668,0,1,1.125,1.059
43,6_blimp_rescue,0.0192,0.4202,0.7039,1,1,1.1717,1.0298
44,1_lmer_complete,0.082709436,0.425482531,0.693863787,1,1,1.131226478,1.011126365
44,2_blimp_complete,0.0654,0.4256,0.6864,1,1,1.1635,1.0114
44,3_lmer_naive,-0.480568405,0.562160931,0.514715648,0,1,0.935337224,0.753889656
44,4_blimp_lmc_noaux,-0.486,0.5624,0.5087,0,1,0.9627,0.7545
44,5_blimp_omc_aux,0.0292,0.4661,0.7936,0,0,1.189,1.0332
44,6_blimp_rescue,0.0925,0.4234,0.7334,1,1,1.2549,1.0017
45,1_lmer_complete,0.127655173,0.417951002,0.636398629,1,1,1.034282377,1.018449783
45,2_blimp_complete,0.1131,0.4181,0.623,1,1,1.0666,1.0187
45,3_lmer_naive,-0.476047447,0.560109199,0.458906591,0,1,0.821386128,0.758274972
45,4_blimp_lmc_noaux,-0.4794,0.5608,0.4342,0,1,0.8455,0.7588
45,5_blimp_omc_aux,0.0799,0.4586,0.6911,0,1,1.0289,1.0646
45,6_blimp_rescue,0.1601,0.4088,0.6319,1,1,1.0542,1.0208
46,1_lmer_complete,-0.136628219,0.41279453,0.579508267,1,1,0.774268717,1.025583992
46,2_blimp_complete,-0.1494,0.4129,0.5756,1,1,0.797,1.0258
46,3_lmer_naive,-0.612518111,0.549996796,0.390828855,0,0,0.715430589,0.786756581
46,4_blimp_lmc_noaux,-0.6204,0.5501,0.3895,0,0,0.7364,0.7873
46,5_blimp_omc_aux,-0.132,0.4537,0.6158,0,1,0.7919,1.0568
46,6_blimp_rescue,-0.0995,0.4138,0.6125,1,1,0.8138,1.022
47,1_lmer_complete,-0.195453272,0.422417783,0.713802447,1,1,1.038478967,1.009398287
47,2_blimp_complete,-0.2105,0.4226,0.7222,1,1,1.0703,1.0096
47,3_lmer_naive,-0.721606232,0.570208942,0.575709478,0,1,0.828228956,0.795343159
47,4_blimp_lmc_noaux,-0.7334,0.5704,0.5734,0,1,0.8542,0.7958
47,5_blimp_omc_aux,-0.2199,0.4735,0.7792,0,1,1.0596,1.0761
47,6_blimp_rescue,-0.1811,0.4365,0.6995,1,1,1.0845,1.0454
48,1_lmer_complete,-0.094946562,0.406179662,0.58222468,1,1,0.731404104,0.979950364
48,2_blimp_complete,-0.1063,0.4063,0.588,1,1,0.7518,0.9802
48,3_lmer_naive,-0.614891698,0.514815672,0.476509898,0,1,0.584456076,0.774204897
48,4_blimp_lmc_noaux,-0.6257,0.5149,0.4772,0,1,0.6035,0.7747
48,5_blimp_omc_aux,-0.1078,0.4174,0.65,1,1,0.7311,1.0231
48,6_blimp_rescue,-0.0846,0.3817,0.6002,1,1,0.7451,0.9925
49,1_lmer_complete,-0.007618268,0.416498628,0.6435143,1,1,1.02171356,0.988555256
49,2_blimp_complete,-0.0231,0.4166,0.633,1,1,1.0536,0.9888
49,3_lmer_naive,-0.529673127,0.554086832,0.445643413,0,1,0.954609627,0.776907483
49,4_blimp_lmc_noaux,-0.5418,0.5544,0.4257,0,1,0.9846,0.7772
49,5_blimp_omc_aux,-0.0228,0.4538,0.6921,0,1,1.0562,1.0518
49,6_blimp_rescue,0.003,0.4158,0.6766,1,1,1.0787,1.0211
50,1_lmer_complete,-0.223185235,0.418850426,0.819901332,1,0,0.868422249,1.02364962
50,2_blimp_complete,-0.2371,0.419,0.814,1,0,0.893,1.0239
50,3_lmer_naive,-0.794930479,0.543982982,0.58633745,0,1,0.629084765,0.828647795
50,4_blimp_lmc_noaux,-0.7893,0.544,0.5965,0,1,0.6477,0.8296
50,5_blimp_omc_aux,-0.2686,0.4394,0.8691,1,0,0.8919,1.1193
50,6_blimp_rescue,-0.1618,0.3974,0.8279,1,0,0.9427,1.0791
51,1_lmer_complete,0.087221379,0.394998428,0.596590769,1,1,0.878847785,1.004388987
51,2_blimp_complete,0.0729,0.3951,0.5849,1,1,0.9053,1.0046
51,3_lmer_naive,-0.44993512,0.512190346,0.451115563,0,1,0.755807769,0.830058458
51,4_blimp_lmc_noaux,-0.459,0.5124,0.4392,0,1,0.7811,0.8306
51,5_blimp_omc_aux,0.0753,0.4241,0.6952,1,1,0.91,1.0981
51,6_blimp_rescue,0.1476,0.3818,0.6349,1,1,0.9323,1.0578
52,1_lmer_complete,-0.042471517,0.382762061,0.6518016,1,1,0.937103017,0.984055253
52,2_blimp_complete,-0.0574,0.3828,0.6485,1,1,0.9654,0.9844
52,3_lmer_naive,-0.588339985,0.509222695,0.475452351,0,1,0.766437474,0.757315326
52,4_blimp_lmc_noaux,-0.5914,0.5086,0.4807,0,1,0.785,0.7583
52,5_blimp_omc_aux,-0.0788,0.4141,0.6726,1,1,0.9383,0.9963
52,6_blimp_rescue,-0.027,0.3848,0.6808,1,1,0.977,0.9702
53,1_lmer_complete,-0.064030715,0.401192676,0.582141223,1,1,1.059770872,0.977874884
53,2_blimp_complete,-0.0815,0.4013,0.5687,1,1,1.0906,0.9781
53,3_lmer_naive,-0.610667729,0.522645807,0.363370914,0,0,0.903339509,0.756849776
